name,content
陈DX,F题自己另起炉灶罚时+n H题用分数类写结果mx和mn设了1e18导致比较时炸裂，爆交到最后20s改double才过_(:з」∠)_ 双线卡题的时候不能打印就十分难受了_(:з」∠)_还是太菜了QAQ 全场一血可能真的有诅咒_(:з」∠)_（这把我要全锅了 好气，这场炸了怎么想都是红太阳AC数&lt;5没能带领我们走向胜利的问题（好像把锅推掉了x
选择公理,死磕J题了，kruskal+点双+矩阵树=约200行的wa代码
Leaves,三个英语菜鸡C题读了5个题意写了2个多小时。过完C12分钟过G，比赛结束前刚把H打完没交上。 一份题意，N份罚时，还丢个金牌。 UPD：金牌最后一名，刺激。
BiteTheDDDDt,写篇机房游记 (?) 俩队友zyf和zqy （据说姓z的一般比较强力？） 赛前一直比较担心远程比赛过程中出现一些奇奇怪怪的问题 还好过程总体还是比较顺利 除了没想到评测机速度能比我这I7 8550U快上三倍 一上来zyf给我安排A题意准备签到 没想到这签到题写了半天麻烦的要死 卡了半天常数本地跑个预处理要1.5s 一交上去500ms 惊了 过程中zqy上去把K签了 看来我签了个假到 然后zyf又给我安排B题意和做法 伸手准备拿板子 想了想 线段树要什…
九峰,题目太长生单词太多，读题读到人没了。 今年第一场比赛，由于个人原因以及疫情采用线上赛模式导致这段时间状态一直不在线。b题第二种方法明明可以set偏偏想不到写了个动态开点线段树还错了四发，填词puzzle那题也因为读题上的障碍浪费了大量时间。银牌收尾也算是给我一个警示吧，接下来要慢慢找感觉了。 顺便恭喜叶巨喜提金尾 @Leaves
陈靖邦,多亏了windows垃圾teminal，没发现自己多组数据输出没换行，送了一发罚时，最后输了7分钟，眼泪就下来了QAQ 学军的小哥哥小姐姐真的强，求你们别A了，我一度还以为10题就封顶了。。。 17-18赛季正式结束了，感谢队友，感谢学长，感谢教练，明年再见～
匿名用户,算法科学家哥哥好帅啊！
金发妹子,过了3周，选手们的字符串水平有了长进啊
Dai@NeverLand,那么以下是今年份的瞎聊~ 组题人比赛前在群里哀嚎题目太简单了要被 AK 了，我说：你可能太高估人类的可能性了组题人想到了解释方法：去年题目太难使得题目难度溢出回 1 了，然后开始了 slow start我不太相信有队伍能 AK第一年在省赛比赛日睡到了下午！慢慢地打了车过去明明才两个小时，怎么就 8 个题了？（非常震惊难道真要被 AK 了？学军大佬真厉害.jpg教练室超级热的，非常无法理解外网的榜因为网络和电源问题非常难以更新，两…
算法花园,第四次参加省赛。 想起去年两个半小时做的题目就可以获金奖了，然后今年赛前在同学面前吹嘘，“两小时获金结束比赛，如果发现我还在现场，请找主办方举报我作弊”。 到比赛现场，感觉水题就不少。写完8题后，我和一个队友去推i，两个多少时，想了一堆构造方法，一次比一次激动，感觉自己构造的完美无缺，不过每次返回WA。另一个队友孤独的写e，也是一直WA。比赛结束还剩10分钟时，终于明白，这辈子都不可能推出 i 题了。于是转头…
毛嘉怡,坐在窗边 所以气球被吹掉至少六七次QAAQQ 有漂亮的志愿者姐姐帮我们捡起来超开心 自告奋勇从M往前想题 ... 发现M不会做L不会做K不会做J不会做...开场好难受 后来索性直接往前翻到F发现会做心态才没有炸...居然拿了FB...队里有两个能写代码的（显然不包括我）所以总体来讲就是抱着队友的大腿度过了愉快的五个小时了！... 据队友说前面的模拟题有点多，大概就是难度跨度有点大的感觉吧...大部分的工作都在前两个小时…
Dai@NeverLand,[图片] （图来自被删除的 C 题配图）那么一年一度的省赛又结束了，今年我决定愉快的举行一个答吐槽者的小活动，大概就是尽量解释或回答已有的吐槽的相关事项，从而加深吐槽的深度和广度，那么开始吧（ 4.23 22:39 更新部分 Q：有没有解题报告？ A：暂时还没有。[删除]出题人说可能没有了，原因是如果数据是错的可能会被打死（？？？[/删除]别找我就是了，我出的题相信你们应该不需要解题报告… Q：金区跨度太大。。。 A：我…
toraoh hdu,听说要听吐槽？ 松扬sensei热身时发现键盘有些不爽(001~050那个区域)，想换被拒; 然后正式比赛时写完a题，要提交时误碰键盘上的关机键，于是每个题都10min后了-_-|| 反正并没有影响到松扬sensei连续2年压在zjq老师上1位就算了233 不知道是不是记忆出错，但是队友抱怨，以前食堂送饮料的，现在没了。(以前省赛似乎是有过送饮料/水果的) 热身赛d题继续上演看运气的比赛就脸黑系列的续集，4组大数据，直接猜，猜到最后一个才过。(15…
赵炎,利益相关：「擺若鰻行，進若蛭步」队长 PS：别问我队名什么意思 0、这场应该算我的退役赛。ACM 生涯有点遗憾啊，ICPC 最高只有北京银首，CCPC 倒是有金，这个 FINAL 更是遥遥无期。 1、 @灰然如此 贵队还是强啊，伏地膜！这次 zjp 的 zju 又双叒叕有特等奖了。 2、又看到 @庄嘉琪 zls 了，发际线一如既往的高，发动技能「突然变庄」。开场前厕所 py，我们探讨了一下怼组题人 @Dai@NeverLand dai 牛的可行性，决定老老实实被怼。 …
九条可怜,上午训练完和dls组了辆自行车开赛两个半小时后双排进场.. 我：要不我先把前面的题做起来？ dls：做个p啊？我们大力倒开来收割一波一血啊？ 然后发现J有点难写懒癌发作不想写 然后被这个M感受绝望了 然后发现G也不会做 然后...两个人躺在地上不知所措 然后就痛苦的吃饭去了 [图片]
SGColin,签到很爽，9题后难度跨度过大（3h 后没有有效提交 另外 zju 是不是貌似只派了一个主力队用来捧杯？
选择公理,由于很多很多原因，凯爷没能准时登录，我们剩下两个担起重任 还被签到题 A 题卡题了 最后勉强过掉所有 9 个签到 《论杭电一队为什么这么逊》
陈靖邦,恭喜陈陈 @clrs97 夺冠～ 不知道该说啥 大家有啥就在评论区问好了 这居然答非所问了？？？知乎识别有毒吧？ zoj已经可以补题了，顺便这次滚榜本来有学长写了个配音“过题如流水”什么的，不知道有没有机会能用上。 关于爆栈，其实在oj上就有写注意事项的，也不是我们故意不开（一言难尽）。
